song,artist,chord_progression
The Fighter,Gym Class Heroes And Ryan Tedder,I → V → vi → iii
The Angels Among Demons,Instrumental Core,I → V → vi → iii
This is Nightlife,ItaloBrothers,I → V → vi → iii
Canon in D Major,Johann Pachelbel,I → V → vi → iii
Firework,Katy Perry,I → V → vi → iii
Trouble is a Friend,Lenka,I → V → vi → iii
La Lune ft Dan Smith,Madeon,I → V → vi → iii
New Age,Marlon Roudette,I → V → vi → iii
Aggressive Alpine Skiing,Mausland Band,I → V → vi → iii
Shiawase High Tension,Minami-ke Tadaima OP,I → V → vi → iii
Super Smash Bros Melee - Onett,Nintendo,I → V → vi → iii
It's Raining Tacos,Parry Gripp,I → V → vi → iii
Nice To Meet You Mr Earthling,PinocchioP,I → V → vi → iii
Under The Bridge,Red Hot Chili Peppers,I → V → vi → iii
Emerald Sword,Rhapsody of Fire,I → V → vi → iii
Ecuador,Sash,I → V → vi → iii
Melody Circus,Savant,I → V → vi → iii
Scatman's World,Scatman John,I → V → vi → iii
A Day Like This,Spongebob Squarepants,I → V → vi → iii
Irresistiblement,Sylvie Vartan,I → V → vi → iii
Genjitsu to Iu Na no Kaibutsu to Tatakau MonoTachi,Takahashi Yu,I → V → vi → iii
Night Drive,The All-American Rejects,I → V → vi → iii
Bad News and Bad Breaks,The Mighty Mighty Bosstones,I → V → vi → iii
Doublespeak,Thrice,I → V → vi → iii
Deep-Sea Girl,Yuuyu,I → V → vi → iii
Rolling In The Deep,Adele,vi → V → IV → V
My Soul Your Beats,Angel Beats,vi → V → IV → V
Danny's Song,Anne Murray,vi → V → IV → V
Liar Liar,Avicii,vi → V → IV → V
Jupiter,Ayaka Hirahara,vi → V → IV → V
Kicked Your Monkey,Bad Lip Reading,vi → V → IV → V
Somebody Loves You,Betty Who,vi → V → IV → V
All Along The Watchtower,Bob Dylan,vi → V → IV → V
American Girl,Bonnie Mckee,vi → V → IV → V
Downstream,Braid Soundtrack,vi → V → IV → V
My Heart Will Go On,Celine Dion,vi → V → IV → V
Khe Sanh,Cold Chisel,vi → V → IV → V
Escape from the City,Crush 40,vi → V → IV → V
Girls Just Want To Have Fun,Cyndi Lauper,vi → V → IV → V
Man on the Run,Dash Berlin,vi → V → IV → V
Titanium feat Sia,David Guetta,vi → V → IV → V
Raise Your Weapon - Madeon Remix,Deadmau5,vi → V → IV → V
Sultans of Swing,Dire Straits,vi → V → IV → V
Goodbye Earl,Dixie Chicks,vi → V → IV → V
Planet,DJ Genki feat yukacco,vi → V → IV → V
Heaven,Dj Sammy,vi → V → IV → V
Thor's Hammer,Dobu Usagi,vi → V → IV → V
Anywhere Is,Enya,vi → V → IV → V
The Essence of Silence,Epica,vi → V → IV → V
Whoa Oh Me vs Everyone,Forever The Sickest Kids,vi → V → IV → V
Fight Area,Game Freak,vi → V → IV → V
Somebody That Used To Know,Gotye,vi → V → IV → V
Somebody That I Used To Know,Gotye,vi → V → IV → V
2000 Light Years Away,Green Day,vi → V → IV → V
November Rain,Guns N' Roses,vi → V → IV → V
